2026-04-10 18:08:16 | http://malicious.com | malicious | matched blocked domain
2026-04-10 18:09:12 | http://login.malicious.com | malicious | matched blocked domain
2026-04-10 18:10:20 | http://google.com@evil.com | suspicious | contains @ symbol
2026-04-10 18:11:45 | http://google.com | safe | no suspicious pattern found
2026-04-10 18:30:00 | http://google-login-security.com | suspicious | brand name with phishing keywords
2026-04-10 18:31:10 | http://paypal-verify-account.net | suspicious | brand name with phishing keywords
2026-04-10 18:32:11 | http://microsoft-secure-update.org | suspicious | brand name with phishing keywords
2026-04-10 18:33:06 | http://google.com | safe | no suspicious pattern found
2026-04-10 18:33:56 | http://amazon.com | safe | no suspicious pattern found
2026-04-10 18:47:29 | http://accounts.google.com/login | safe | no suspicious pattern found
2026-04-10 18:48:51 | http://paypal.com/security | safe | no suspicious pattern found
2026-04-10 18:49:45 | http://microsoft.com/account/reset | safe | no suspicious pattern found
2026-04-10 18:50:49 | http://google-login-security.com | suspicious | brand name with phishing keywords on non-official domain
2026-04-10 18:51:56 | http://paypal-verify-account.net | suspicious | brand name with phishing keywords on non-official domain
2026-04-10 18:52:43 | http://microsoft-secure-update.org | suspicious | brand name with phishing keywords on non-official domain
2026-04-10 19:00:11 | http://192.168.1.10/login | suspicious | uses raw IP address
2026-04-10 19:01:21 | http://185.243.115.84/secure-update | suspicious | uses raw IP address
2026-04-10 19:01:54 | http://google.com | safe | no suspicious pattern found
2026-04-10 19:02:34 | http://accounts.google.com | safe | no suspicious pattern found
2026-04-10 19:08:44 | http://bit.ly/abc123 | suspicious | uses URL shortener
2026-04-10 19:09:27 | http://tinyurl.com/test | suspicious | uses URL shortener
2026-04-10 19:10:21 | http://t.co/xyz | suspicious | uses URL shortener
2026-04-10 19:10:47 | http://google.com | safe | no suspicious pattern found
2026-04-10 20:06:27 | http://malicious.com | malicious | matched blocked domain
2026-04-10 20:07:02 | http://bit.ly/test | suspicious | uses URL shortener
2026-04-10 20:07:36 | http://google.com | safe | no suspicious pattern found
2026-04-16 18:25:41 | http://google.com | safe | no suspicious pattern found
2026-04-16 18:26:07 | http://bit.ly/test | suspicious | uses URL shortener
2026-04-16 18:26:51 | http://google-login-security.com | suspicious | brand + phishing keywords on non-official domain
2026-04-16 18:55:53 | http://google.com | safe | no suspicious pattern found
2026-04-16 19:18:53 | http://google.com | safe | no suspicious pattern found
2026-04-16 19:25:47 | http://google.com | safe | no suspicious pattern found
2026-04-16 19:26:07 | http://google.com | safe | no suspicious pattern found
2026-04-16 19:26:09 | http://google.com | safe | no suspicious pattern found
2026-04-16 19:26:10 | http://google.com | safe | no suspicious pattern found
2026-04-16 19:26:10 | http://google.com | safe | no suspicious pattern found
2026-04-16 19:26:11 | http://google.com | safe | no suspicious pattern found
2026-04-16 19:26:12 | http://google.com | safe | no suspicious pattern found
2026-04-16 19:26:13 | http://google.com | safe | no suspicious pattern found
2026-04-16 19:26:13 | http://google.com | safe | no suspicious pattern found
2026-04-16 19:26:14 | http://google.com | safe | no suspicious pattern found
2026-04-16 19:27:18 | http://google.com | safe | no suspicious pattern found
2026-04-16 19:27:20 | http://google.com | safe | no suspicious pattern found
2026-04-16 19:27:21 | http://google.com | safe | no suspicious pattern found
